datetime,o,h,l,c,time,date
2018/2/21 11:00,10703.57,10708.88,10701.47,10702.65,11:00:00,2018/2/21
2018/2/21 11:30,10705.83,10708.52,10702.08,10707.7,11:30:00,2018/2/21
2018/2/21 12:00,10693.15,10699.76,10690.96,10699.76,12:00:00,2018/2/21
2018/2/21 12:30,10692.11,10698.05,10692.11,10697.1,12:30:00,2018/2/21
2018/2/21 13:00,10706.43,10707.79,10703.46,10705.29,13:00:00,2018/2/21
2018/2/21 13:30,10714.44,10714.44,10714.44,10714.44,13:30:00,2018/2/21
2018/2/22 09:00,10698.47,10698.47,10671.52,10671.52,09:00:00,2018/2/22
2018/2/22 09:30,10633.27,10636.55,10632.37,10633.25,09:30:00,2018/2/22
2018/2/22 10:00,10640.82,10643.55,10635.85,10643.51,10:00:00,2018/2/22
2018/2/22 10:30,10651.12,10654.44,10643.92,10648.1,10:30:00,2018/2/22
2018/2/22 11:00,10669.34,10669.75,10662.9,10668.99,11:00:00,2018/2/22
2018/2/22 11:30,10672.34,10675.66,10669.89,10670.57,11:30:00,2018/2/22
2018/2/22 12:00,10673.22,10677.09,10672.74,10676.16,12:00:00,2018/2/22
2018/2/22 12:30,10670.37,10672.49,10667.57,10667.57,12:30:00,2018/2/22
2018/2/22 13:00,10650.48,10654.88,10650.48,10654.45,13:00:00,2018/2/22
2018/2/22 13:30,10662.38,10662.38,10662.38,10662.38,13:30:00,2018/2/22
2018/2/23 09:00,10688.97,10723.58,10688.97,10723.21,09:00:00,2018/2/23
2018/2/23 09:30,10741.75,10746.76,10740.21,10740.21,09:30:00,2018/2/23
2018/2/23 10:00,10759.82,10766.73,10759.82,10766.73,10:00:00,2018/2/23
2018/2/23 10:30,10761.86,10764.26,10758.63,10764.26,10:30:00,2018/2/23
2018/2/23 11:00,10796.32,10797.8,10794.31,10796.04,11:00:00,2018/2/23
2018/2/23 11:30,10784.48,10785.6,10778.5,10785.49,11:30:00,2018/2/23
2018/2/23 12:00,10761.91,10763.84,10758.14,10761.3,12:00:00,2018/2/23
2018/2/23 12:30,10760.27,10764.04,10757.42,10762.85,12:30:00,2018/2/23
2018/2/23 13:00,10768.81,10768.81,10761.77,10764.25,13:00:00,2018/2/23
2018/2/23 13:30,10794.55,10794.55,10794.55,10794.55,13:30:00,2018/2/23
2018/2/26 09:00,10827.98,10883.11,10827.98,10883.11,09:00:00,2018/2/26
2018/2/26 09:30,10843.45,10843.45,10836.97,10837.38,09:30:00,2018/2/26
2018/2/26 10:00,10852.65,10854.13,10848.26,10854.13,10:00:00,2018/2/26
2018/2/26 10:30,10853.15,10856.63,10853.15,10855.01,10:30:00,2018/2/26
2018/2/26 11:00,10857.49,10858.4,10851.49,10856.22,11:00:00,2018/2/26
2018/2/26 11:30,10860.7,10863.15,10857.25,10857.25,11:30:00,2018/2/26
2018/2/26 12:00,10861,10864.8,10858.07,10860,12:00:00,2018/2/26
2018/2/26 12:30,10863.25,10865.87,10859.14,10862.62,12:30:00,2018/2/26
2018/2/26 13:00,10858.74,10858.74,10851.84,10856.69,13:00:00,2018/2/26
2018/2/26 13:30,10836.7,10836.7,10836.7,10836.7,13:30:00,2018/2/26
2018/2/27 09:00,10896.16,10932.71,10896.16,10927.1,09:00:00,2018/2/27
2018/2/27 09:30,10918.61,10919.22,10910.22,10916.06,09:30:00,2018/2/27
2018/2/27 10:00,10878.36,10886.48,10878.36,10883.24,10:00:00,2018/2/27
2018/2/27 10:30,10883.43,10887.73,10882.78,10886.11,10:30:00,2018/2/27
2018/2/27 11:00,10893.99,10893.99,10887.14,10892.14,11:00:00,2018/2/27
2018/2/27 11:30,10881.37,10886.29,10878.63,10885.35,11:30:00,2018/2/27
2018/2/27 12:00,10883.96,10884.58,10876.71,10881.73,12:00:00,2018/2/27
2018/2/27 12:30,10865.62,10868.74,10862.93,10868.74,12:30:00,2018/2/27
2018/2/27 13:00,10850.52,10854.61,10847.9,10852.06,13:00:00,2018/2/27
2018/2/27 13:30,10815.47,10815.47,10815.47,10815.47,13:30:00,2018/2/27
2018/3/1 09:00,10779.1,10779.1,10718.46,10720.66,09:00:00,2018/3/1
2018/3/1 09:30,10724.33,10731.87,10724.33,10731.87,09:30:00,2018/3/1
2018/3/1 10:00,10761.46,10761.49,10754.5,10757.26,10:00:00,2018/3/1
2018/3/1 10:30,10769.91,10771.24,10764.51,10771.24,10:30:00,2018/3/1
2018/3/1 11:00,10785.94,10792.24,10785.94,10787.43,11:00:00,2018/3/1
2018/3/1 11:30,10786.12,10791.03,10781.84,10785.4,11:30:00,2018/3/1
2018/3/1 12:00,10784.1,10787.89,10781.49,10783.36,12:00:00,2018/3/1
2018/3/1 12:30,10784.23,10786.37,10778.62,10783.19,12:30:00,2018/3/1
2018/3/1 13:00,10797.38,10799.43,10793.78,10794.58,13:00:00,2018/3/1
2018/3/1 13:30,10785.79,10785.79,10785.79,10785.79,13:30:00,2018/3/1
2018/3/2 09:00,10719.29,10719.29,10678.54,10678.86,09:00:00,2018/3/2
2018/3/2 09:30,10650.04,10659.91,10647.32,10659.91,09:30:00,2018/3/2
2018/3/2 10:00,10692.25,10692.25,10684.62,10686.37,10:00:00,2018/3/2
2018/3/2 10:30,10697.7,10697.7,10691.37,10695.35,10:30:00,2018/3/2
2018/3/2 11:00,10676.25,10676.25,10670.37,10670.37,11:00:00,2018/3/2
2018/3/2 11:30,10688.21,10688.72,10682.17,10687.94,11:30:00,2018/3/2
2018/3/2 12:00,10691.03,10693.13,10686.9,10688.32,12:00:00,2018/3/2
2018/3/2 12:30,10696.11,10697,10691.95,10694.88,12:30:00,2018/3/2
2018/3/2 13:00,10691.59,10697.01,10690.55,10691.34,13:00:00,2018/3/2
2018/3/2 13:30,10698.17,10698.17,10698.17,10698.17,13:30:00,2018/3/2
2018/3/19 09:00,11004.81,11016.42,11004.81,11012.62,09:00:00,2018/3/19
2018/3/19 09:30,11005.26,11007.33,11001.5,11001.79,09:30:00,2018/3/19
2018/3/19 10:00,11002.52,11010.64,11002.05,11010.64,10:00:00,2018/3/19
2018/3/19 10:30,11044.36,11049.6,11042.93,11043.85,10:30:00,2018/3/19
