,datetime,o,h,l,c,time,date
2044,2018-03-28 13:00:00,10877.76,10881.59,10853.48,10865.66,13:00:00,2018-03-28
2064,2018-03-29 09:00:00,10855.66,10885.6,10836.58,10839.54,09:00:00,2018-03-29
2065,2018-03-29 10:00:00,10838.39,10858.93,10815.46,10854.44,10:00:00,2018-03-29
2066,2018-03-29 11:00:00,10860.61,10881.02,10848.43,10873.51,11:00:00,2018-03-29
2067,2018-03-29 12:00:00,10871.94,10889.6,10864.97,10875.32,12:00:00,2018-03-29
2068,2018-03-29 13:00:00,10876.87,10886.88,10845.92,10845.92,13:00:00,2018-03-29
2088,2018-03-30 09:00:00,10905.3,10946.37,10905.3,10939.85,09:00:00,2018-03-30
2089,2018-03-30 10:00:00,10944.08,10969.22,10939.33,10959.62,10:00:00,2018-03-30
2090,2018-03-30 11:00:00,10959.34,10965.6,10938.21,10942.33,11:00:00,2018-03-30
2091,2018-03-30 12:00:00,10942.26,10951.99,10928.83,10935.02,12:00:00,2018-03-30
2092,2018-03-30 13:00:00,10936.25,10939.4,10906.22,10906.22,13:00:00,2018-03-30
2112,2018-03-31 09:00:00,10925.71,10947.16,10919.65,10933.2,09:00:00,2018-03-31
2113,2018-03-31 10:00:00,10933.3,10942.3,10924.34,10925.55,10:00:00,2018-03-31
2114,2018-03-31 11:00:00,10925.61,10936.82,10919.68,10926.44,11:00:00,2018-03-31
2115,2018-03-31 12:00:00,10922.47,10928.66,10912.05,10916.37,12:00:00,2018-03-31
2116,2018-03-31 13:00:00,10919.53,10925.31,10905.69,10919.49,13:00:00,2018-03-31
2160,2018-04-02 09:00:00,10936.26,10969.88,10936.26,10956.16,09:00:00,2018-04-02
2161,2018-04-02 10:00:00,10951.91,10959.86,10882.05,10895.92,10:00:00,2018-04-02
2162,2018-04-02 11:00:00,10896.19,10911.79,10885.77,10904.37,11:00:00,2018-04-02
2163,2018-04-02 12:00:00,10908.86,10913.8,10898.14,10903.65,12:00:00,2018-04-02
2164,2018-04-02 13:00:00,10904.15,10904.15,10883.59,10888.27,13:00:00,2018-04-02
2184,2018-04-03 09:00:00,10837.54,10837.54,10775.45,10797.48,09:00:00,2018-04-03
2185,2018-04-03 10:00:00,10797.72,10806.91,10776.73,10799.89,10:00:00,2018-04-03
2186,2018-04-03 11:00:00,10799.16,10808.38,10789.4,10798.06,11:00:00,2018-04-03
2187,2018-04-03 12:00:00,10798.77,10818.5,10792.56,10809.53,12:00:00,2018-04-03
2188,2018-04-03 13:00:00,10815.41,10828.6,10810.89,10821.53,13:00:00,2018-04-03
2328,2018-04-09 09:00:00,10880.14,10902.51,10844.98,10852.87,09:00:00,2018-04-09
2329,2018-04-09 10:00:00,10853.0,10857.42,10829.02,10842.68,10:00:00,2018-04-09
